restaurant_name,rating,reviews_given,restaurant_location,cuisines,average_cost_for_two,order_category,city,restaurant_category,has_online_order,has_table_booking,num_cuisines
Shree Cool Point,4.1,28,Vijay Nagar,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,Quick Bites,1,0,3
Corner House Ice Cream,4.3,345,Banashankari,"Ice Cream, Desserts",400.0,Delivery,Banashankari,Dessert Parlor,0,0,2
Biryanis And More,4.0,618,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,Casual Dining,1,0,5
Roving Feast,4.0,1047,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,Quick Bites,0,0,5
FreshMenu,3.9,627,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,Delivery,1,0,8
Banashankari Donne Biriyani,3.8,104,Banashankari,"Biryani, Fast Food",300.0,Delivery,Banashankari,Quick Bites,1,0,2
Wamama,4.2,354,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,Casual Dining,1,1,7
Five Star Chicken,3.6,55,Banashankari,"Fast Food, Burger",200.0,Delivery,Banashankari,Quick Bites,0,0,2
XO Belgian Waffle,3.7,17,Banashankari,"Desserts, Beverages",400.0,Delivery,Banashankari,Dessert Parlor,1,0,2
Peppy Peppers,4.2,244,Banashankari,"Italian, North Indian, Mexican",800.0,Delivery,Banashankari,Casual Dining,0,0,3
Goa 0 Km,3.6,163,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,Casual Dining,1,1,5
Chinese Kitchen,3.8,58,Basavanagudi,Chinese,150.0,Delivery,Banashankari,Quick Bites,1,0,1
1947,4.0,808,Banashankari,"North Indian, Chinese",850.0,Delivery,Banashankari,Casual Dining,0,1,2
Cake of the Day,3.7,78,Banashankari,Bakery,150.0,Delivery,Banashankari,Bakery,0,0,1
Kabab Magic,4.1,1720,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,Quick Bites,1,0,4
Namma Brahmin's Idli,3.6,34,Jayanagar,South Indian,100.0,Delivery,Banashankari,Quick Bites,1,0,1
Gustoes Beer House,4.1,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,Pub,0,0,6
Sugar Rush,3.8,39,Banashankari,"Bakery, Desserts",300.0,Delivery,Banashankari,Bakery,0,0,2
Burger King,3.2,71,Basavanagudi,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari,Quick Bites,1,0,3
The Good Bowl,3.6,6,Banashankari,"Italian, North Indian, Biryani",500.0,Delivery,Banashankari,Takeaway,1,0,3
The Biryani Cafe,4.1,520,Banashankari,"Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,Quick Bites,0,0,3
Spicy Tandoor,0.0,0,Banashankari,North Indian,150.0,Delivery,Banashankari,Quick Bites,0,0,1
LSD Cafe,2.9,84,Banashankari,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari,Delivery,0,0,4
Rolls On Wheels,3.6,299,Banashankari,"Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,Quick Bites,0,0,3
Om Sri Vinayaka Chats,0.0,0,Banashankari,"Street Food, Fast Food",500.0,Delivery,Banashankari,Takeaway,0,0,2
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,558,Basavanagudi,South Indian,150.0,Delivery,Banashankari,Quick Bites,1,0,1
Devanna Dum Biriyani Centre,3.6,28,Banashankari,"Biryani, South Indian",300.0,Delivery,Banashankari,Quick Bites,1,0,2
Kolbeh,3.7,22,Banashankari,Fast Food,500.0,Delivery,Banashankari,Quick Bites,0,0,1
Upahar Sagar,3.8,39,Banashankari,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,Quick Bites,0,0,3
Kadalu Sea Food Restaurant,3.8,153,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari,Fine Dining,1,0,6
Frozen Bottle,4.2,146,Banashankari,"Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,Beverage Shop,1,0,3
Parimala Sweets,3.5,14,Banashankari,"Mithai, Street Food",200.0,Delivery,Banashankari,Sweet Shop,0,0,2
Vaishali Deluxe,3.8,42,Banashankari,"North Indian, Chinese",700.0,Delivery,Banashankari,Casual Dining,0,0,2
Chill Out,0.0,0,Banashankari,"South Indian, Chinese",100.0,Delivery,Banashankari,Quick Bites,0,0,2
The Big O Bakes,4.0,66,Banashankari,"Bakery, Desserts",300.0,Delivery,Banashankari,Bakery,0,0,2
Meghana Foods,4.4,4401,Jayanagar,"Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,Casual Dining,1,0,3
Krishna Sagar,3.5,31,Banashankari,North Indian,200.0,Delivery,Banashankari,Quick Bites,0,0,1
Dessert Rose,3.5,7,Banashankari,Desserts,500.0,Delivery,Banashankari,Dessert Parlor,0,0,1
Chickpet Donne Biryani House,3.7,21,Banashankari,Biryani,250.0,Delivery,Banashankari,Quick Bites,0,0,1
Me And My Cake,0.0,0,Banashankari,"Bakery, Desserts",500.0,Delivery,Banashankari,Delivery,0,0,2
Sunsadm,0.0,0,Banashankari,South Indian,400.0,Delivery,Banashankari,Takeaway,0,0,1
Annapooraneshwari Mess,0.0,0,Banashankari,South Indian,200.0,Delivery,Banashankari,Mess,0,0,1
Thanco's Natural Ice Creams,3.2,9,Banashankari,Ice Cream,300.0,Delivery,Banashankari,Dessert Parlor,0,0,1
Nandhini Deluxe,2.6,283,Banashankari,North Indian,600.0,Delivery,Banashankari,Casual Dining,0,0,1
Vi Ra's Bar and Restaurant,3.3,62,Banashankari,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,Bar,0,0,3
Kaggis,3.8,64,Banashankari,"Fast Food, Bakery",250.0,Delivery,Banashankari,Quick Bites,0,0,2
Ayda Persian Kitchen,3.7,39,Banashankari,"North Indian, Iranian",950.0,Delivery,Banashankari,Casual Dining,0,0,2
Chatar Patar,3.7,65,Banashankari,"Fast Food, Street Food",300.0,Delivery,Banashankari,Quick Bites,0,0,2
Polar Bear,3.8,71,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,Dessert Parlor,1,0,4
Kidambi's Kitchen,3.5,52,Banashankari,South Indian,300.0,Delivery,Banashankari,Quick Bites,0,0,1
Mane Thindi,3.7,130,Banashankari,South Indian,200.0,Delivery,Banashankari,Quick Bites,0,0,1
Kotian Karavali Restaurant,3.5,10,Banashankari,"South Indian, Biryani",300.0,Delivery,Banashankari,Quick Bites,0,0,2
Floured-Baked With Love,3.8,45,Banashankari,Bakery,400.0,Delivery,Banashankari,Takeaway,0,0,1
CAFE NOVA,3.2,11,Banashankari,"Cafe, Bakery",600.0,Delivery,Banashankari,Cafe,0,0,2
Cakes & Slices,3.5,13,Banashankari,"Bakery, Desserts",300.0,Delivery,Banashankari,Bakery,0,0,2
Spice 9,3.4,8,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari,Quick Bites,0,0,4
Coffee Shopee,0.0,0,Banashankari,Beverages,250.0,Delivery,Banashankari,Takeaway,0,0,1
Naveen Kabab & Biriyani Mane,3.2,9,Banashankari,Biryani,300.0,Delivery,Banashankari,Quick Bites,0,0,1
Katriguppe Donne Biryani,3.2,4,Banashankari,North Indian,300.0,Delivery,Banashankari,Quick Bites,0,0,1
Hari Super Sandwich,0.0,0,Banashankari,"Sandwich, Pizza, Beverages",200.0,Delivery,Banashankari,Takeaway,0,0,3
Atithi Point Ande Ka Funda,3.1,29,Banashankari,North Indian,150.0,Delivery,Banashankari,Quick Bites,0,0,1
Just Bake,3.4,8,Banashankari,"Bakery, Desserts",400.0,Delivery,Banashankari,Bakery,0,0,2
Dharwad Line Bazaar Mishra Pedha,0.0,0,Banashankari,Mithai,150.0,Delivery,Banashankari,Dessert Parlor,0,0,1
Cake Bite,0.0,0,Banashankari,Bakery,300.0,Delivery,Banashankari,Bakery,0,0,1
Aarush's Food Plaza,0.0,0,Banashankari,"North Indian, Street Food",200.0,Delivery,Banashankari,Quick Bites,0,0,2
Wood Stove,0.0,0,Banashankari,South Indian,150.0,Delivery,Banashankari,Takeaway,0,0,1
Kulfi & More,0.0,0,Banashankari,"Ice Cream, Desserts, Juices",150.0,Delivery,Banashankari,Dessert Parlor,0,0,3
Kannadigas Karavali,0.0,0,Banashankari,"Mangalorean, South Indian, North Indian",250.0,Delivery,Banashankari,Quick Bites,0,0,3
K27 - The Pub,3.1,30,Banashankari,"Chinese, North Indian",1000.0,Delivery,Banashankari,Bar,0,0,2
Bengaluru Coffee House,4.1,201,Banashankari,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari,Quick Bites,1,0,4
New Mangalore Lunch Home,3.3,7,Banashankari,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari,Quick Bites,0,0,3
Coffee Bytes,3.1,6,Banashankari,"Fast Food, South Indian",100.0,Delivery,Banashankari,Quick Bites,0,0,2
Parjanya Chat Zone,3.3,17,Banashankari,"Street Food, Fast Food",200.0,Delivery,Banashankari,Quick Bites,0,0,2
Kwality Wall's Swirl's Happiness Station,2.9,25,Banashankari,"Ice Cream, Desserts",200.0,Delivery,Banashankari,Dessert Parlor,0,0,2
Soms Kitchen & Bakes,0.0,0,Banashankari,"South Indian, North Indian, Continental",400.0,Delivery,Banashankari,Delivery,0,0,3
Banashankari Nati Style,0.0,0,Banashankari,"Biryani, Chinese, South Indian, North Indian",350.0,Delivery,Banashankari,Quick Bites,0,0,4
Ruchi Maayaka,3.3,8,Banashankari,South Indian,100.0,Delivery,Banashankari,Delivery,0,0,1
Mohitesh Hut Roll,0.0,0,Banashankari,"Rolls, North Indian",150.0,Delivery,Banashankari,Quick Bites,0,0,2
Sri Basaveshwar Jolada Rotti Oota,0.0,0,Banashankari,South Indian,150.0,Delivery,Banashankari,Quick Bites,0,0,1
Roll Magic Fast Food,0.0,0,Banashankari,"Biryani, Rolls, Chinese",200.0,Delivery,Banashankari,Takeaway,0,0,3
Foodlieious Multi Cuisine,0.0,0,Banashankari,North Indian,100.0,Delivery,Banashankari,Quick Bites,0,0,1
Thanishka Nati And Karavali Style,0.0,0,Banashankari,"Biryani, Fast Food",400.0,Delivery,Banashankari,Quick Bites,0,0,2
Swathi Cool Point,0.0,0,Banashankari,"Beverages, Juices",200.0,Delivery,Banashankari,Beverage Shop,0,0,2
Kaumudis Juoice,0.0,0,Banashankari,"Beverages, Fast Food, Juices",150.0,Delivery,Banashankari,Beverage Shop,0,0,3
Amma - Manae,0.0,0,Banashankari,South Indian,400.0,Delivery,Banashankari,Takeaway,0,0,1
Sri Sai Tiffannies,0.0,0,Banashankari,"South Indian, Chinese",150.0,Delivery,Banashankari,Quick Bites,0,0,2
Hotel Andhra Speices,0.0,0,Banashankari,Andhra,250.0,Delivery,Banashankari,Quick Bites,0,0,1
Sri Murari Family Restaurant,0.0,0,Banashankari,Biryani,250.0,Delivery,Banashankari,Quick Bites,0,0,1
Aramane Donne Biriyani,0.0,0,Banashankari,"South Indian, Biryani",150.0,Delivery,Banashankari,Quick Bites,0,0,2
Darkolates,0.0,0,Banashankari,Desserts,200.0,Delivery,Banashankari,Confectionery,0,0,1
Swaada Healthy Kitchen,0.0,0,Banashankari,"Healthy Food, Juices, Sandwich",350.0,Delivery,Banashankari,Quick Bites,0,0,3
Gawdaru Mane Beriyani,0.0,0,Banashankari,"South Indian, Biryani",300.0,Delivery,Banashankari,Quick Bites,0,0,2
Melting Melodies,0.0,0,Banashankari,"Pizza, Fast Food",100.0,Delivery,Banashankari,Takeaway,0,0,2
New Indraprasta,0.0,0,Banashankari,"South Indian, Beverages",150.0,Delivery,Banashankari,Quick Bites,0,0,2
Anna Kuteera,4.0,771,Banashankari,"South Indian, North Indian, Chinese",450.0,Delivery,Banashankari,Casual Dining,1,0,3
Darbar,3.0,98,Banashankari,"North Indian, Chinese",800.0,Delivery,Banashankari,Bar,0,0,2
Vijayalakshmi,3.9,47,Basavanagudi,South Indian,200.0,Delivery,Banashankari,Quick Bites,1,0,1
Sri Udupi Food Hub,4.1,175,Jayanagar,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari,Casual Dining,1,1,4
Udupi Upahar,3.8,58,Banashankari,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari,Quick Bites,1,0,4
House Of Kebabs,3.8,540,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari,Casual Dining,1,0,4
Roll N Rock,3.8,124,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari,Quick Bites,1,0,4
BOX8- Desi Meals,4.1,340,Banashankari,"North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari,Takeaway,1,0,3
KFC,3.8,505,Banashankari,"Burger, Fast Food",450.0,Delivery,Banashankari,Quick Bites,1,0,2
Bitez,0.0,0,Banashankari,Fast Food,100.0,Delivery,Banashankari,Quick Bites,0,0,1
Roll Over,4.1,438,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari,Dessert Parlor,1,0,5
Imperial Restaurant,3.7,264,Mysore Road,"North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari,Casual Dining,1,0,4
Lassi Shop,3.9,169,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari,Beverage Shop,1,0,3
The Fortuna,3.0,67,Kumaraswamy Layout,"North Indian, Chinese",250.0,Delivery,Banashankari,Quick Bites,1,0,2
Wahab,3.7,97,Jayanagar,"North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari,Quick Bites,1,0,3
Al Diwan Biryanis And More,3.3,12,Basavanagudi,Biryani,300.0,Delivery,Banashankari,Takeaway,1,0,1
New Gowda's Fried Chicken,3.3,12,Banashankari,Biryani,300.0,Delivery,Banashankari,Quick Bites,1,0,1
Canton,3.6,195,Jayanagar,"Chinese, Seafood, Biryani",800.0,Delivery,Banashankari,Casual Dining,1,0,3
Diabetics Dezire Sugarless Sweets and Bakes,3.3,13,Basavanagudi,"Desserts, Mithai",300.0,Delivery,Banashankari,Dessert Parlor,1,0,2
The Blue Wagon - Kitchen,4.6,228,Jayanagar,"Cafe, Beverages",400.0,Delivery,Banashankari,Cafe,1,0,2
HOT COFFEE,4.1,70,Basavanagudi,"South Indian, Chinese",150.0,Delivery,Banashankari,Quick Bites,1,0,2
Patio 805,4.1,364,Jayanagar,"Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari,Casual Dining,1,1,4
Lassi Corner,3.7,107,Basavanagudi,"Beverages, Ice Cream",150.0,Delivery,Banashankari,Beverage Shop,1,0,2
Sagar Deluxe,3.2,167,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari,Quick Bites,1,0,4
Kanti Sweets,4.0,115,Banashankari,"Mithai, Street Food",400.0,Delivery,Banashankari,Sweet Shop,1,0,2
Vegetalia,3.7,27,Banashankari,"Italian, Pizza",400.0,Delivery,Banashankari,Takeaway,1,0,2
Aramane Donne Biryani,3.5,57,Banashankari,Biryani,200.0,Delivery,Banashankari,Quick Bites,1,0,1
Ande Ka Funda,3.8,120,Banashankari,"North Indian, Fast Food, Rolls",250.0,Delivery,Banashankari,Quick Bites,1,0,3
Cake Ghar,3.8,15,Basavanagudi,Bakery,400.0,Delivery,Banashankari,Bakery,1,0,1
Energy Addaa,4.2,64,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari,Quick Bites,1,0,7
Bhattara Bhojana,3.6,66,Banashankari,South Indian,150.0,Delivery,Banashankari,Quick Bites,1,0,1
Tandoori Knight,3.0,290,Banashankari,"North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari,Quick Bites,1,0,4
Dev Sagar - Food Street,4.1,233,Basavanagudi,Street Food,200.0,Delivery,Banashankari,Quick Bites,1,0,1
Mitraa Da Pizza,3.8,115,Kumaraswamy Layout,"Fast Food, Pizza",250.0,Delivery,Banashankari,Quick Bites,1,0,2
Paradise Premium,3.1,119,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Delivery,Banashankari,Casual Dining,1,0,4
Grazers,3.9,291,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari,Cafe,1,1,5
Shakes Theory,4.5,155,Jayanagar,"Beverages, Sandwich",300.0,Delivery,Banashankari,Beverage Shop,1,0,2
@Italy,4.1,305,Kumaraswamy Layout,Italian,700.0,Delivery,Banashankari,Casual Dining,1,0,1
Chilli Flakes,3.6,46,Banashankari,"Fast Food, Italian, Beverages",500.0,Delivery,Banashankari,Quick Bites,1,0,3
Calcutta Cafe,3.5,45,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",350.0,Delivery,Banashankari,Quick Bites,1,0,3
Old Mumbai Ice Cream,3.9,38,Banashankari,Ice Cream,150.0,Delivery,Banashankari,Dessert Parlor,1,0,1
Donne Biriyani House,3.9,441,Banashankari,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari,Quick Bites,1,0,4
By 2 Coffee,3.9,25,Basavanagudi,South Indian,100.0,Delivery,Banashankari,Quick Bites,1,0,1
Kedia's Fun Food,4.3,630,Jayanagar,"North Indian, Street Food, Juices",200.0,Delivery,Banashankari,Quick Bites,1,0,3
Davangere Butter Dosa Hotel,3.8,25,Kumaraswamy Layout,South Indian,150.0,Delivery,Banashankari,Quick Bites,1,0,1
Just Shawarma,3.9,160,Kumaraswamy Layout,Arabian,300.0,Delivery,Banashankari,Quick Bites,1,0,1
Mini Punjabi Dhaba,4.2,287,Banashankari,North Indian,350.0,Delivery,Banashankari,Quick Bites,1,0,1
Mulabagilu Dosa,3.6,11,Basavanagudi,South Indian,100.0,Delivery,Banashankari,Quick Bites,1,0,1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1,402,Banashankari,Cafe,500.0,Delivery,Banashankari,Cafe,1,0,1
Gokul Veg,3.8,469,Basavanagudi,"North Indian, Chinese, Beverages",750.0,Delivery,Banashankari,Casual Dining,1,0,3
Olive - Era,3.3,511,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,Banashankari,Casual Dining,1,0,8
Udupi Ruchi,3.9,57,Banashankari,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari,Quick Bites,1,0,4
Madhappa Hindu Military Hotel,3.4,14,Banashankari,South Indian,300.0,Delivery,Banashankari,Quick Bites,1,0,1
Gama Gama,3.9,264,Banashankari,South Indian,200.0,Delivery,Banashankari,Quick Bites,1,0,1
The Vintage Cafe,3.0,62,Banashankari,"Cafe, French, North Indian",400.0,Delivery,Banashankari,Cafe,1,0,3
Pizza Hut,3.8,693,Banashankari,"Pizza, Fast Food",750.0,Delivery,Banashankari,Casual Dining,1,0,2
Mangalore Pearl,3.8,242,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,Banashankari,Casual Dining,1,0,4
Asha Sweets Centre,3.6,27,Basavanagudi,Fast Food,250.0,Delivery,Banashankari,Dessert Parlor,1,0,1
Twiststick House,4.1,163,Basavanagudi,"Continental, Fast Food, Street Food, Momos",500.0,Delivery,Banashankari,Quick Bites,1,0,4
Cool Corner,4.2,191,Basavanagudi,"Street Food, Fast Food",250.0,Delivery,Banashankari,Quick Bites,1,0,2
Pizza Mane,3.5,32,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,Banashankari,Quick Bites,1,0,4
Dal Tadkaa,2.5,247,Banashankari,North Indian,500.0,Delivery,Banashankari,Casual Dining,1,0,1
Chutney Chang,4.1,2339,Jayanagar,"North Indian, Chinese, BBQ",1500.0,Delivery,Banashankari,Casual Dining,1,1,3
Mystique Palate,4.1,337,Jayanagar,"Chinese, Fast Food",300.0,Delivery,Banashankari,Quick Bites,1,0,2
Thamboola,3.9,135,Banashankari,"North Indian, Chinese, Continental",800.0,Delivery,Banashankari,Casual Dining,1,0,3
Castle Rock,3.6,172,Uttarahalli,"North Indian, Chinese",700.0,Delivery,Banashankari,Casual Dining,1,0,2
Vietnamese Kitchen,3.6,105,Banashankari,Vietnamese,700.0,Delivery,Banashankari,Casual Dining,1,0,1
Smacznego,4.2,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Delivery,Banashankari,Cafe,1,0,5
C Corner,3.2,36,Kumaraswamy Layout,"Fast Food, Street Food",200.0,Delivery,Banashankari,Quick Bites,1,0,2
Paratha Merchant,3.1,39,Kumaraswamy Layout,North Indian,300.0,Delivery,Banashankari,Quick Bites,1,0,1
North Rasoe,3.1,5,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",500.0,Delivery,Banashankari,Casual Dining,1,0,4
Inchara Restaurant,0.0,0,Basavanagudi,"North Indian, Chinese",300.0,Delivery,Banashankari,Quick Bites,1,0,2
